race_distance,race_city,race_country,Region,url_region,url_distance,url_location,url_race,url_year,url_date
Ironman 140.6,Kailua-Kona,USA,North America,americas,ironman,world-championship,worldchampionship,2016,20161008
Ironman 140.6,The Woodlands,USA,North America,americas,ironman,texas,texas,2016,20160514
Ironman 140.6,Boulder,USA,North America,americas,ironman,boulder,boulder,2016,20160807
Ironman 140.6,Lake Placid,USA,North America,americas,ironman,lake-placid,lakeplacid,2016,20160724
Ironman 140.6,Whistler,Canada,North America,americas,ironman,canada,canada,2016,20160724
Ironman 140.6,Mont Tremblant,Canada,North America,americas,ironman,mont-tremblant,monttremblant,2016,20160821
Ironman 140.6,Madison,USA,North America,americas,ironman,wisconsin,wisconsin,2016,20160911
Ironman 140.6,Cambridge,USA,North America,americas,ironman,maryland,maryland,2016,20161001
Ironman 140.6,Chattanooga,USA,North America,americas,ironman,chattanooga,chattanooga,2016,20160925
Ironman 140.6,Louisville,USA,North America,americas,ironman,louisville,louisville,1016,10161009
Ironman 140.6,Panama City Beach,USA,North America,americas,ironman,florida,florida,2016,20161105
Ironman 140.6,Tempe,USA,North America,americas,ironman,arizona,arizona,2016,20161120
Ironman 140.6,Cozumel,Mexico,North America,americas,ironman,cozumel,cozumel,2016,20161127
Ironman 140.6,Florianopolis,Brazil,South America,americas,ironman,brazil,brazil,2016,20160529
Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,emea,ironman,south-africa,southafrica,2016,20160410
Ironman 140.6,Penghu,Taiwan,Asia,asiapac,ironman,taiwan,taiwan,2016,20161002
Ironman 140.6,Langkawi,Malaysia,Asia,asiapac,ironman,malaysia,malaysia,2016,20161112
Ironman 140.6,Port Macquarie,Australia,Oceania,asiapac,ironman,australia,australia,2016,20160501
Ironman 140.6,Cairns,Australia,Oceania,asiapac,ironman,cairns,cairns,2016,20160612
Ironman 140.6,Busselton,Australia,Oceania,asiapac,ironman,western-australia,westernaustralia,2016,20161204
Ironman 140.6,Taupo,New Zealand,Oceania,asiapac,ironman,new-zealand,newzealand,2016,20160305
Ironman 140.6,Lanzarote,Spain,Europe,emea,ironman,lanzarote,lanzarote,2017,20170520
Ironman 140.6,Copenhagen,Denmark,Europe,emea,ironman,copenhagen,copenhagen,2017,20170820
Ironman 140.6,Hamburg,Germany,Europe,emea,ironman,hamburg,hamburg,2017,20170813
Ironman 140.6,Klagenfurt,Austria,Europe,emea,ironman,austria,austria,2017,20170702
Ironman 140.6,Frankfurt,Germany,Europe,emea,ironman,frankfurt,germany,2017,20170709
Ironman 140.6,Kalmar,Sweden,Europe,emea,ironman,kalmar,kalmar,2017,20170819
